Pcount,1,2,4,9,18,36,72,144,288,577,1155
1,4,8,17,37,78,156,330,660,1318,2640,5275
2,2,4,9,20,43,83,182,378,761,1529,3094
3,1,3,7,17,36,67,152,312,624,1249,2509
4,1,2,6,14,30,56,131,266,541,1064,2140
5,1,2,6,13,29,51,123,249,494,965,1958
6,0,2,5,12,27,47,111,237,436,904,1813
7,0,1,4,10,23,44,112,214,423,835,1649
8,0,1,4,7,18,40,93,194,419,831,1750
9,0.0,1.0,3.0,7.0,18.0,38.0,111.0,218.0,423.0,855.0,1636.0
10,0.0,1.0,3.0,7.0,17.0,36.0,107.0,222.0,461.0,718.0,1672.0
11,0.0,1.0,3.0,7.0,26.0,40.0,112.0,226.0,386.0,886.0,1674.0
12,0.0,2.0,3.0,7.0,19.0,42.0,109.0,218.0,439.0,865.0,1670.0